CAMPIONATO,GIRONE,GARA,DATA,ORA,SQUADRA CASA,SQUADRA OSPITE,CAMPO,TIPO,INDIRIZZO,COMUNE,LNK MAPS
UNDER16,#,ALLENAMENTO,sabato 19/09/2026,09:00,ACADEMY CYNTHIA GENZANO,ACADEMY CYNTHIA GENZANO,CITTA' DELL'INFIORATA,SINTEX,VIA SARDEGNA,GENZANO DI ROMA (RM),https://maps.app.goo.gl/k42YrqtFcqK8KGWBA
UNDER17,#,GRIFONE CUP,sabato 19/09/2026,11:00,ACADEMY CYNTHIA GENZANO,ARICCIA CALCIO,DELIO CHIMENTI,SINTEX,VIALE DELLE PALME,MARINA DA ARDEA (RM),https://maps.app.goo.gl/H7bQcfBRpiw5kEUk7
UNDER13,#,AMICHEVOLE,sabato 19/09/2026,11:30,ACADEMY CYNTHIA GENZANO,GRIFONE NETTUNO,CITTA' DELL'INFIORATA,SINTEX,VIA SARDEGNA,GENZANO DI ROMA (RM),https://maps.app.goo.gl/k42YrqtFcqK8KGWBA
UNDER14PROV,#,AMICHEVOLE,sabato 19/09/2026,14:30,ALBACYNTHIA,REAL LATINA,CITTA' DELL'INFIORATA,SINTEX,VIA SARDEGNA,GENZANO DI ROMA (RM),https://maps.app.goo.gl/k42YrqtFcqK8KGWBA
UNDER19,#,AMICHEVOLE,sabato 19/09/2026,16:00,CYNTHIA 1920,ARICCIA CALCIO,CITTA' DELL'INFIORATA,SINTEX,VIA SARDEGNA,GENZANO DI ROMA (RM),https://maps.app.goo.gl/k42YrqtFcqK8KGWBA
UNDER18,#,AMICHEVOLE,sabato 19/09/2026,17:30,ATLETICO ARDEA,CYNTHIA 1920,PINETA DEI LIBERTI,SINTEX,"VIA DELLE PINETE, 140",ARDEA (RM),https://maps.app.goo.gl/KSdPYgK4FFYPfCkd6
UNDER15,#,GRIFONE CUP,sabato 19/09/2026,18:00,ACADEMY CYNTHIA GENZANO,MONTELLO,DELIO CHIMENTI,SINTEX,VIALE DELLE PALME,MARINA DA ARDEA (RM),https://maps.app.goo.gl/H7bQcfBRpiw5kEUk7
UNDER14 REG,#,AMICHEVOLE,sabato 19/09/2026,18:00,ACADEMY CYNTHIA GENZANO,LODIGIANI NEXT GEN,CITTA' DELL'INFIORATA,SINTEX,VIA SARDEGNA,GENZANO DI ROMA (RM),https://maps.app.goo.gl/k42YrqtFcqK8KGWBA
UNDER13,#,AMICHEVOLE,domenica 20/09/2026,08:45,ACADEMY CYNTHIA GENZANO,DF ACADEMY,CITTA' DELL'INFIORATA,SINTEX,VIA SARDEGNA,GENZANO DI ROMA (RM),https://maps.app.goo.gl/k42YrqtFcqK8KGWBA
UNDER16,#,AMICHEVOLE,domenica 20/09/2026,10:30,ACADEMY CYNTHIA GENZANO,REAL LATINA,CITTA' DELL'INFIORATA,SINTEX,VIA SARDEGNA,GENZANO DI ROMA (RM),https://maps.app.goo.gl/k42YrqtFcqK8KGWBA
